date,series_name,series_match_type,match,venue
"21/02/2020, 21:30:00","Australia tour of South Africa, 2020","1st T20I","South Africa vs Australia","The Wanderers Stadium, Johannesburg"
"23/02/2020, 18:00:00","Australia tour of South Africa, 2020","2nd T20I","South Africa vs Australia","St George's Park, Port Elizabeth"
"26/02/2020, 21:30:00","Australia tour of South Africa, 2020","3rd T20I","South Africa vs Australia","Newlands, Cape Town"
"29/02/2020, 16:30:00","Australia tour of South Africa, 2020","1st ODI","South Africa vs Australia","Boland Park, Paarl"
"04/03/2020, 16:30:00","Australia tour of South Africa, 2020","2nd ODI","South Africa vs Australia","Mangaung Oval, Bloemfontein"
"07/03/2020, 13:30:00","Australia tour of South Africa, 2020","3rd ODI","South Africa vs Australia","Senwes Park, Potchefstroom"
"13/03/2020, 09:00:00","New Zealand tour of Australia, 2020","1st ODI","Australia vs New Zealand","Sydney Cricket Ground, Sydney"
"15/03/2020, 05:00:00","New Zealand tour of Australia, 2020","2nd ODI","Australia vs New Zealand","Sydney Cricket Ground, Sydney"
"20/03/2020, 09:00:00","New Zealand tour of Australia, 2020","3rd ODI","Australia vs New Zealand","Bellerive Oval, Hobart"
"24/03/2020, 06:30:00","Australia tour of New Zealand, 2020","1st T20I","New Zealand vs Australia","University Oval, Dunedin"
"27/03/2020, 11:30:00","Australia tour of New Zealand, 2020","2nd T20I","New Zealand vs Australia","Eden Park, Auckland"
"29/03/2020, 06:30:00","Australia tour of New Zealand, 2020","3rd T20I","New Zealand vs Australia","Hagley Oval, Christchurch"
"29/06/2020, 19:30:00","Australia tour of Scotland, 2020","Only T20I","Scotland vs Australia","Grange Cricket Club, Edinburgh"
"03/07/2020, 23:00:00","Australia tour of England, 2020","1st T20I","England vs Australia","Riverside Ground, Chester-le-Street"
"05/07/2020, 21:30:00","Australia tour of England, 2020","2nd T20I","England vs Australia","Emirates Old Trafford, Manchester"
"07/07/2020, 23:00:00","Australia tour of England, 2020","3rd T20I","England vs Australia","Headingley, Leeds"
"11/07/2020, 17:30:00","Australia tour of England, 2020","1st ODI","England vs Australia","Lord's, London"
"14/07/2020, 17:30:00","Australia tour of England, 2020","2nd ODI","England vs Australia","The Rose Bowl, Southampton"
"16/07/2020, 17:30:00","Australia tour of England, 2020","3rd ODI","England vs Australia","County Ground, Bristol"
"24/10/2020, 13:30:00","ICC Mens T20 World Cup 2020","13th Match","Australia vs Pakistan","Sydney Cricket Ground, Sydney"
"28/10/2020, 16:30:00","ICC Mens T20 World Cup 2020","21st Match","Australia vs West Indies","Perth Stadium, Perth"
"31/10/2020, 14:30:00","ICC Mens T20 World Cup 2020","27th Match","Australia vs TBC","The Gabba, Brisbane"
"03/11/2020, 14:00:00","ICC Mens T20 World Cup 2020","33rd Match","Australia vs TBC","Adelaide Oval, Adelaide"
"06/11/2020, 13:30:00","ICC Mens T20 World Cup 2020","38th Match","Australia vs New Zealand","Melbourne Cricket Ground, Melbourne"
